tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
assim,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
atingir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
atribuível,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
atualmente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
aumentar,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
aumento,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
avaliado,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
avançar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
baixa,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
baixo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
banco,"[0.0, 0.010363, 0.004854]",0.005072,3,0.75,"[0.0, 0.007772, 0.00364]",0.003804
brasil,"[0.023669, 0.015544, 0.009709]",0.016307,13,0.214286,"[0.005072, 0.003331, 0.002081]",0.003495
brasileiro,"[0.005917, 0.010363, 0.004854]",0.007045,5,0.5,"[0.002958, 0.005182, 0.002427]",0.003522
bruto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
burden,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
carcinoma,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
carga,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
caso,"[0.008876, 0.010363, 0.009709]",0.009649,7,0.375,"[0.003328, 0.003886, 0.003641]",0.003618
causa,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
centro,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
cidade,"[0.002959, 0.010363, 0.0]",0.004441,3,0.75,"[0.002219, 0.007772, 0.0]",0.00333
cigarro,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
cirurgia,"[0.0, 0.046632, 0.0]",0.015544,9,0.3,"[0.0, 0.01399, 0.0]",0.004663
cirurgião,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
cirúrgico,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
classificado,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
cobertura,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
cobre,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
coletado,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
combustão,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
comorbidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
componente,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
comum,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
concentrado,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
conduzir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
consumo,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
continuar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
contra,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
contrastam,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
controle,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
cpcnp,"[0.0, 0.0, 0.019417]",0.006472,4,0.6,"[0.0, 0.0, 0.01165]",0.003883
cpcp,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
crescendo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
criança,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
critério,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
crônica,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
cujo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
curativo,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
curiosamente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
câncer,"[0.050296, 0.020725, 0.033981]",0.035001,28,0.103448,"[0.005203, 0.002144, 0.003515]",0.003621
célula,"[0.0, 0.0, 0.024272]",0.008091,5,0.5,"[0.0, 0.0, 0.012136]",0.004045
dado,"[0.008876, 0.025907, 0.029126]",0.021303,14,0.2,"[0.001775, 0.005181, 0.005825]",0.00426
de,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
densamente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
departamento,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
desenvolver,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
desfecho,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
determinar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
dia,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
diagnosticado,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
diagnóstico,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
diferente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
diferença,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
diferiram,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
diminuir,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
diminuição,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
discrepância,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
discutir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
disease,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
disponibilidade,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
disseminação,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
distribuição,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
diversos,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
dividir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
dizer,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
doença,"[0.011834, 0.005181, 0.009709]",0.008908,7,0.375,"[0.004438, 0.001943, 0.003641]",0.003341
dois,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
domicílio,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
