tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
político,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
ponto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
população,"[0.005917, 0.005181, 0.0]",0.003699,3,0.75,"[0.004438, 0.003886, 0.0]",0.002775
porcentagem,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
portanto,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
possibilidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
possível,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
pouco,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
povoada,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
predomina,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
preocupação,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
presente,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
presença,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
prevalente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
prevalência,"[0.011834, 0.0, 0.009709]",0.007181,6,0.428571,"[0.005072, 0.0, 0.004161]",0.003078
primária,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
principal,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
privado,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
privar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
probabilidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
procedimento,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
processo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
produto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
proibição,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
promovida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
proporção,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
proteção,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
provavelmente,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
proveniente,"[0.005917, 0.0, 0.004854]",0.00359,3,0.75,"[0.004438, 0.0, 0.00364]",0.002693
publicar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
pulmonar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
pulmão,"[0.029586, 0.020725, 0.029126]",0.026479,20,0.142857,"[0.004227, 0.002961, 0.004161]",0.003783
público,"[0.011834, 0.010363, 0.004854]",0.009017,7,0.375,"[0.004438, 0.003886, 0.00182]",0.003381
qual,"[0.002959, 0.0, 0.009709]",0.004223,3,0.75,"[0.002219, 0.0, 0.007282]",0.003167
qualidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
quarto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
queda,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
questionável,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
radônio,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
rapidamente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
rastreamento,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
raçasetniassexo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
realizar,"[0.0, 0.015544, 0.009709]",0.008418,5,0.5,"[0.0, 0.007772, 0.004854]",0.004209
realização,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
receber,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
recurso,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
redução,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
referente,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
refletir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
reforçar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
registrar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
região,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
relacionado,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
relacionar,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
relatado,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
relativamente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
relativo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
relevante,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
renda,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
respectivamente,"[0.008876, 0.0, 0.009709]",0.006195,5,0.5,"[0.004438, 0.0, 0.004854]",0.003097
respeito,"[0.002959, 0.005181, 0.009709]",0.00595,4,0.6,"[0.001775, 0.003109, 0.005825]",0.00357
restringir,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
resultar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
retrospectiva,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
revelar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
risco,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
rj,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
robótico,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
rótulo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
saúde,"[0.014793, 0.015544, 0.004854]",0.01173,9,0.3,"[0.004438, 0.004663, 0.001456]",0.003519
secretaria,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
segmentectomia,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
segundo,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
semelhante,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
ser,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
servida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
servir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
serviço,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
significativo,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
sistema,"[0.005917, 0.010363, 0.004854]",0.007045,5,0.5,"[0.002958, 0.005182, 0.002427]",0.003522
sobre,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
sobrevido,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
sociedade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
socioeconômico,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
sp,"[0.0, 0.005181, 0.014563]",0.006581,4,0.6,"[0.0, 0.003109, 0.008738]",0.003949
status,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
study,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
su,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
subgrupo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
submetida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
submetido,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
sudeste,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
sugerem,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
sul,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
série,"[0.0, 0.010363, 0.004854]",0.005072,3,0.75,"[0.0, 0.007772, 0.00364]",0.003804
tabaco,"[0.014793, 0.0, 0.0]",0.004931,5,0.5,"[0.007396, 0.0, 0.0]",0.002465
tabagismo,"[0.017751, 0.0, 0.0]",0.005917,6,0.428571,"[0.007608, 0.0, 0.0]",0.002536
tal,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
tamanho,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
tanto,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
taxa,"[0.017751, 0.010363, 0.014563]",0.014226,11,0.25,"[0.004438, 0.002591, 0.003641]",0.003557
telefone,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
tendência,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
tipo,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
tocante,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
todo,"[0.014793, 0.0, 0.004854]",0.006549,6,0.428571,"[0.00634, 0.0, 0.00208]",0.002807
torácica,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
torácico,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
total,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
trabalhar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
tratamento,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
tratar,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
técnica,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
uk,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
uso,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
variar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
videoassistida,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
vigilância,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
virtude,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
voluntário,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
várias,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
último,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
único,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
