,tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
236,processo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
237,produto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
238,proibição,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
239,promovida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
240,proporção,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
241,proteção,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
242,provavelmente,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
243,proveniente,"[0.005917, 0.0, 0.004854]",0.00359,3,0.75,"[0.004438, 0.0, 0.00364]",0.002693
244,publicar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
245,pulmonar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
246,pulmão,"[0.029586, 0.020725, 0.029126]",0.026479,20,0.142857,"[0.004227, 0.002961, 0.004161]",0.003783
247,público,"[0.011834, 0.010363, 0.004854]",0.009017,7,0.375,"[0.004438, 0.003886, 0.00182]",0.003381
248,qual,"[0.002959, 0.0, 0.009709]",0.004223,3,0.75,"[0.002219, 0.0, 0.007282]",0.003167
249,qualidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
250,quarto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
251,queda,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
252,questionável,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
253,radônio,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
254,rapidamente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
255,rastreamento,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
256,raçasetniassexo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
257,realizar,"[0.0, 0.015544, 0.009709]",0.008418,5,0.5,"[0.0, 0.007772, 0.004854]",0.004209
258,realização,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
259,receber,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
260,recurso,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
261,redução,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
262,referente,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
263,refletir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
264,reforçar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
265,registrar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
266,região,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
267,relacionado,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
268,relacionar,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
269,relatado,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
270,relativamente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
271,relativo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
272,relevante,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
273,renda,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
274,respectivamente,"[0.008876, 0.0, 0.009709]",0.006195,5,0.5,"[0.004438, 0.0, 0.004854]",0.003097
275,respeito,"[0.002959, 0.005181, 0.009709]",0.00595,4,0.6,"[0.001775, 0.003109, 0.005825]",0.00357
276,restringir,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
277,resultar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
278,retrospectiva,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
279,revelar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
280,risco,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
281,rj,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
282,robótico,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
283,rótulo,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
284,saúde,"[0.014793, 0.015544, 0.004854]",0.01173,9,0.3,"[0.004438, 0.004663, 0.001456]",0.003519
285,secretaria,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
286,segmentectomia,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
287,segundo,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
288,semelhante,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
289,ser,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
290,servida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
291,servir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
292,serviço,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
293,significativo,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
294,sistema,"[0.005917, 0.010363, 0.004854]",0.007045,5,0.5,"[0.002958, 0.005182, 0.002427]",0.003522
295,sobre,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
296,sobrevido,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
297,sociedade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
298,socioeconômico,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
299,sp,"[0.0, 0.005181, 0.014563]",0.006581,4,0.6,"[0.0, 0.003109, 0.008738]",0.003949
300,status,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
301,study,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
302,su,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
303,subgrupo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
304,submetida,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
305,submetido,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
306,sudeste,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
307,sugerem,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
308,sul,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
309,série,"[0.0, 0.010363, 0.004854]",0.005072,3,0.75,"[0.0, 0.007772, 0.00364]",0.003804
310,tabaco,"[0.014793, 0.0, 0.0]",0.004931,5,0.5,"[0.007396, 0.0, 0.0]",0.002465
311,tabagismo,"[0.017751, 0.0, 0.0]",0.005917,6,0.428571,"[0.007608, 0.0, 0.0]",0.002536
312,tal,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
313,tamanho,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
314,tanto,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
315,taxa,"[0.017751, 0.010363, 0.014563]",0.014226,11,0.25,"[0.004438, 0.002591, 0.003641]",0.003557
316,telefone,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
317,tendência,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
318,tipo,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
319,tocante,"[0.002959, 0.005181, 0.0]",0.002713,2,1.0,"[0.002959, 0.005181, 0.0]",0.002713
320,todo,"[0.014793, 0.0, 0.004854]",0.006549,6,0.428571,"[0.00634, 0.0, 0.00208]",0.002807
321,torácica,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
322,torácico,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
323,total,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
324,trabalhar,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
