,tokens,tf,tf_mean,df,idf,tf_idfs,tf_idf_mean
0,absoluto,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
1,acelerem,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
2,acesso,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
3,acordo,"[0.002959, 0.005181, 0.004854]",0.004331,3,0.75,"[0.002219, 0.003886, 0.00364]",0.003248
4,adenocarcinoma,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
5,adequado,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
6,adiante,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
7,ainda,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
8,ajustada,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
9,alerta,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
10,algum,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
11,alteração,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
12,alto,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
13,além,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
14,amianto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
15,analisou,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
16,ano,"[0.011834, 0.005181, 0.009709]",0.008908,7,0.375,"[0.004438, 0.001943, 0.003641]",0.003341
17,antitabaco,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
18,anualmente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
19,análise,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
20,apenas,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
21,apesar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
22,aplicar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
23,apresentar,"[0.002959, 0.0, 0.014563]",0.005841,4,0.6,"[0.001775, 0.0, 0.008738]",0.003504
24,aproximadamente,"[0.002959, 0.015544, 0.004854]",0.007786,5,0.5,"[0.00148, 0.007772, 0.002427]",0.003893
25,após,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
26,assim,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
27,atingir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
28,atribuível,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
29,atualmente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
30,aumentar,"[0.008876, 0.0, 0.004854]",0.004577,4,0.6,"[0.005326, 0.0, 0.002912]",0.002746
31,aumento,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
32,avaliado,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
33,avançar,"[0.0, 0.005181, 0.009709]",0.004963,3,0.75,"[0.0, 0.003886, 0.007282]",0.003723
34,baixa,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
35,baixo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
36,banco,"[0.0, 0.010363, 0.004854]",0.005072,3,0.75,"[0.0, 0.007772, 0.00364]",0.003804
37,brasil,"[0.023669, 0.015544, 0.009709]",0.016307,13,0.214286,"[0.005072, 0.003331, 0.002081]",0.003495
38,brasileiro,"[0.005917, 0.010363, 0.004854]",0.007045,5,0.5,"[0.002958, 0.005182, 0.002427]",0.003522
39,bruto,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
40,burden,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
41,carcinoma,"[0.0, 0.0, 0.014563]",0.004854,3,0.75,"[0.0, 0.0, 0.010922]",0.003641
42,carga,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
43,caso,"[0.008876, 0.010363, 0.009709]",0.009649,7,0.375,"[0.003328, 0.003886, 0.003641]",0.003618
44,causa,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
45,centro,"[0.0, 0.005181, 0.004854]",0.003345,2,1.0,"[0.0, 0.005181, 0.004854]",0.003345
46,cidade,"[0.002959, 0.010363, 0.0]",0.004441,3,0.75,"[0.002219, 0.007772, 0.0]",0.00333
47,cigarro,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
48,cirurgia,"[0.0, 0.046632, 0.0]",0.015544,9,0.3,"[0.0, 0.01399, 0.0]",0.004663
49,cirurgião,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
50,cirúrgico,"[0.0, 0.015544, 0.0]",0.005181,3,0.75,"[0.0, 0.011658, 0.0]",0.003886
51,classificado,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
52,cobertura,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
53,cobre,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
54,coletado,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
55,combustão,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
56,comorbidade,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
57,componente,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
58,comum,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
59,concentrado,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
60,conduzir,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
61,consumo,"[0.005917, 0.0, 0.0]",0.001972,2,1.0,"[0.005917, 0.0, 0.0]",0.001972
62,continuar,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
63,contra,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
64,contrastam,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
65,controle,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
66,cpcnp,"[0.0, 0.0, 0.019417]",0.006472,4,0.6,"[0.0, 0.0, 0.01165]",0.003883
67,cpcp,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
68,crescendo,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
69,criança,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
70,critério,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
71,crônica,"[0.002959, 0.0, 0.0]",0.000986,1,1.5,"[0.004438, 0.0, 0.0]",0.001479
72,cujo,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
73,curativo,"[0.0, 0.010363, 0.0]",0.003454,2,1.0,"[0.0, 0.010363, 0.0]",0.003454
74,curiosamente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
75,câncer,"[0.050296, 0.020725, 0.033981]",0.035001,28,0.103448,"[0.005203, 0.002144, 0.003515]",0.003621
76,célula,"[0.0, 0.0, 0.024272]",0.008091,5,0.5,"[0.0, 0.0, 0.012136]",0.004045
77,dado,"[0.008876, 0.025907, 0.029126]",0.021303,14,0.2,"[0.001775, 0.005181, 0.005825]",0.00426
78,de,"[0.008876, 0.0, 0.0]",0.002959,3,0.75,"[0.006657, 0.0, 0.0]",0.002219
79,densamente,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
80,departamento,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
81,desenvolver,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
82,desfecho,"[0.002959, 0.0, 0.004854]",0.002604,2,1.0,"[0.002959, 0.0, 0.004854]",0.002604
83,determinar,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
84,dia,"[0.0, 0.005181, 0.0]",0.001727,1,1.5,"[0.0, 0.007772, 0.0]",0.002591
85,diagnosticado,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
86,diagnóstico,"[0.0, 0.0, 0.009709]",0.003236,2,1.0,"[0.0, 0.0, 0.009709]",0.003236
87,diferente,"[0.0, 0.0, 0.004854]",0.001618,1,1.5,"[0.0, 0.0, 0.007281]",0.002427
